datum,titel_kurz_d,p_svp,annahme
1985-09-22 09:00:00,Bundesbeschluss zur Koordination des Schuljahresbeginns,0,1
1985-09-22 10:00:00,Bundesbeschluss über die Innovationsrisikogarantie,0,0
1985-09-22 11:00:00,Neues Ehe- und Erbrecht,1,1
1985-12-01 12:00:00,Initiative «für die Abschaffung der Vivisektion»,0,0
1986-03-16 13:00:00,UNO-Beitritt,0,0
1986-09-28 14:00:00,Kulturinitiative,0,0
1986-09-28 15:00:00,Gegenentwurf zur Kulturinitiative,1,0
1986-09-28 16:00:00,Initiative zur Berufsbildung und Umschulung,0,0
1986-09-28 17:00:00,Bundesbeschluss über die Zuckerwirtschaft,1,0
1986-12-07 18:00:00,Bundesbeschluss zum Mieterschutz,1,1
1986-12-07 19:00:00,Initiative für eine Schwerverkehrsabgabe,0,0
1987-04-05 20:00:00,Asylgesetz,1,1
1987-04-05 21:00:00,Ausländergesetz,1,1
1987-04-05 22:00:00,Initiative für die Einführung eines Rüstungsreferendums,0,0
1987-04-05 23:00:00,Abstimmungsverfahren bei Volksinitiativen mit Gegenentwurf,0,1
1987-12-06 00:00:00,Bahn 2000,1,1
1987-12-06 01:00:00,Krankenversicherungsgesetz,1,0
1987-12-06 02:00:00,Initiative «zum Schutz der Moore - Rothenthurm-Initiative»,0,1
1988-06-12 03:00:00,Verfassungsgrundlagen für eine koordinierte Verkehrspolitik,0,0
1988-06-12 04:00:00,Initiative zur Herabsetzung des AHV-Rentenalters,0,0
1988-12-04 05:00:00,«Stadt-Land-Initiative gegen die Bodenspekulation»,0,0
1988-12-04 06:00:00,Initiative «zur Herabsetzung der Arbeitszeit»,0,0
1988-12-04 07:00:00,Initiative «für die Begrenzung der Einwanderung»,0,0
1989-06-04 08:00:00,Kleinbauern-Initiative,0,0
